constraint_key,subject,predicate,rtype,object,operation,description,combined
"American,hasBase,some,PizzaBase",American,hasBase,some,PizzaBase,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.']"
"American,hasIngredient,some,MozzarellaTopping",American,hasIngredient,some,MozzarellaTopping,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasTopping,some,PeperoniSausageTopping",American,hasTopping,some,PeperoniSausageTopping,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasTopping,some,TomatoTopping",American,hasTopping,some,TomatoTopping,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"AmericanHot,hasBase,some,PizzaBase",AmericanHot,hasBase,some,PizzaBase,original,"This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot is a type of pizza, which typically features a classic pizza base.)']","This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot is a type of pizza, which typically features a classic pizza base.)']"
"AmericanHot,hasCountryOfOrigin,exactly 1,American",AmericanHot,hasCountryOfOrigin,exactly 1,American,original,"This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot originates from the United States, indicating its country of origin is American.)']","This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot originates from the United States, indicating its country of origin is American.)']"
"AmericanHot,hasSpiciness,exactly 1,Hot",AmericanHot,hasSpiciness,exactly 1,Hot,original,"This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(This type of pizza is known for its bold and spicy flavors, delivering a satisfying heat, which classifies its spiciness as Hot.)']","This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(This type of pizza is known for its bold and spicy flavors, delivering a satisfying heat, which classifies its spiciness as Hot.)']"
"AmericanHot,hasTopping,some,MeatTopping",AmericanHot,hasTopping,some,MeatTopping,original,"This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot typically features toppings that include pepperoni sausage, which falls under the category of MeatTopping.)']","This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot typically features toppings that include pepperoni sausage, which falls under the category of MeatTopping.)']"
"AmericanHot,hasTopping,some,VegetableTopping",AmericanHot,hasTopping,some,VegetableTopping,original,"This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot is known for its toppings that include hot green peppers and tomatoes, which are classified as VegetableToppings.)']","This type of pizza is known for its bold and spicy flavors, typically featuring a combination of toppings that include hot green peppers, jalapeños, mozzarella, pepperoni sausage, and tomatoes. Each slice delivers a satisfying heat, making it a favorite among those who enjoy a little kick in their meal. Originating from the United States, this pizza stands out not just for its toppings but also for its classic pizza base, creating a deliciously fiery experience that appeals to adventurous eaters. ['(AmericanHot is known for its toppings that include hot green peppers and tomatoes, which are classified as VegetableToppings.)']"
"AnchoviesTopping,hasSpiciness,some,Mild",AnchoviesTopping,hasSpiciness,some,Mild,original,"This topping adds a distinctive flavor to pizzas, bringing a savory, briny taste that many enthusiasts appreciate. Typically, it is classified as a fish topping and is known for its mild spiciness, making it a unique choice for those looking to enhance their pizza experience with something a bit different. Whether used sparingly or generously, this ingredient can elevate the overall taste profile of the dish, appealing to adventurous eaters. ['Typically, it is classified as a fish topping and is known for its mild spiciness, making it a unique choice for those looking to enhance their pizza experience with something a bit different.']","This topping adds a distinctive flavor to pizzas, bringing a savory, briny taste that many enthusiasts appreciate. Typically, it is classified as a fish topping and is known for its mild spiciness, making it a unique choice for those looking to enhance their pizza experience with something a bit different. Whether used sparingly or generously, this ingredient can elevate the overall taste profile of the dish, appealing to adventurous eaters. ['Typically, it is classified as a fish topping and is known for its mild spiciness, making it a unique choice for those looking to enhance their pizza experience with something a bit different.']"
