,subject,predicate,rtype,object,support_sentence
0,ActuatableProperty,madeActuation,some,Actuation,"['This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken.']"
1,Actuation,actsOnProperty,some,ActuatableProperty,"['an actuator exerts influence on a specific property, typically an actuatable property.']"
2,Actuation,hasFeatureOfInterest,some,FeatureOfInterest,"['closely tied to a particular feature of interest, which is the focus of the actuation.']"
3,Actuation,hasResult,some,Result,"['each actuation yields a specific result, reflecting the outcome of the interaction.']"
4,Actuation,usedProcedure,some,Procedure,['the actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome.']
5,Actuator,actsOnProperty,some,ActuatableProperty,"['Each Actuator is associated with a specific type of property that it can influence, ensuring that its functionality is aligned with the properties it is intended to actuate.']"
6,Deployment,deployedOnPlatform,some,Platform,"['(""...where a system is installed or utilized on a designated platform."")']"
7,Deployment,deployedSystem,some,System,"['(""The Deployment class encapsulates the relationship between the system, the platform it operates on, and the property it addresses, emphasizing the structured nature of sensor network configurations."")']"
8,Deployment,forProperty,some,Property,"['(""Each deployment is tailored to a particular property, ensuring that the system operates within defined parameters."")']"
9,FeatureOfInterest,hasProperty,some,Property,"['(""every Feature of Interest is defined by its properties, which describe its characteristics and behaviors in the context of observation or measurement."")']"
10,FeatureOfInterest,hasSample,some,Sample,"['(""each Feature of Interest is associated exclusively with a specific sample that provides data about it."")']"
11,ObservableProperty,madeBySensor,some,Sensor,"['(""this property is specifically linked to sensors, which are responsible for observing and collecting data about it"")']"
12,Observation,hasFeatureOfInterest,some,FeatureOfInterest,"['(""focuses on a particular feature of interest"")']"
13,Observation,hasResult,some,Result,"['(""Each observation is associated with a unique result that reflects the data gathered during the observation process."")']"
14,Observation,madeBySensor,some,Sensor,"['(""It is conducted by a sensor."")']"
15,Observation,observedProperty,some,ObservableProperty,"['(""is linked to a specific observable property"")']"
16,Observation,usedProcedure,some,Procedure,"['(""following a defined procedure"")']"
17,Observation,wasOriginatedBy,some,Stimulus,"['(""is often triggered by a stimulus"")']"
18,Output,madeByActuator,some,Actuator,"['(""Outputs may result from the operation of actuators"")']"
19,Output,madeBySampler,some,Sampler,"['(""Outputs may result from the operation of sampling devices"")']"
20,Output,madeBySensor,some,Sensor,"['(""Outputs may result from the operation of sensors"")']"
21,Platform,hasDeployment,some,Deployment,"['(""a Platform is always associated with a deployment context, indicating its specific operational environment."")']"
22,Platform,hosts,only,System,"['(""exclusively hosts systems, ensuring that only compatible entities operate within its framework."")']"
23,Procedure,deployedSystem,some,System,"['(""each Procedure is executed by a designated system, which embodies the necessary capabilities to carry out the prescribed actions"")']"
24,Procedure,hasInput,some,Input,"['(""its exclusive reliance on defined inputs and outputs"" – indicating that a Procedure works with defined inputs)']"
25,Procedure,hasOutput,some,Output,"['(""its exclusive reliance on defined inputs and outputs"" – indicating that a Procedure produces defined outputs)']"
26,Property,hasFeatureOfInterest,some,FeatureOfInterest,"['Each property is uniquely tied to a feature, ensuring that it describes only that particular aspect or quality.']"
27,Result,hasFeatureOfInterest,some,FeatureOfInterest,"['(""often reflecting the state or condition of a particular feature of interest"")']"
28,Result,isResultOf,some,Observation,"['(""obtained from observations or measurements taken in a semantic sensor network"")']"
29,Sample,madeSampling,some,Sampling,"['(""Sample is described as being collected during a Sampling procedure and is uniquely associated with the act of Sampling that produced it"")']"
30,Sampler,hasFeatureOfInterest,only,FeatureOfInterest,"['(""designed to collect data from a specific feature of interest"" indicates that the Sampler’s related feature must be a FeatureOfInterest)']"
31,Sampler,madeSampling,only,Sampling,"['(""all operations it conducts are directly related to the act of sampling"" from ""Samplers are characterized by its exclusive involvement in sampling processes"")']"
32,Sampling,hasFeatureOfInterest,some,FeatureOfInterest,"['Sampling refers to the process of collecting data from a specific feature of interest, ensuring that the data gathered is representative of that feature.']"
33,Sampling,hasSample,some,Sample,['The outcome of sampling is a sample that reflects the observations made during the process.']
34,Sampling,madeBySampler,some,Sampler,"['This process is exclusively conducted by a sampler, which is responsible for carrying out the sampling activities.']"
35,Sampling,usedProcedure,some,Procedure,['Each sampling operation follows a defined procedure to ensure consistency and reliability in the data collection.']
36,Sensor,detects,some,Stimulus,"['(""designed to detect and respond to physical stimuli in the environment, such as light, temperature, or pressure"")']"
37,Sensor,observes,some,ObservableProperty,"['(""capable of observing particular properties, which define the characteristics it monitors"")']"
38,Stimulus,actsOnProperty,some,ObservableProperty,"['(""It is intrinsically linked to specific observable properties, ensuring that each stimulus is associated with a defined aspect of interest in the surrounding environment."")']"
39,System,deployedOnPlatform,some,Platform,"['(""operates within a specific Platform"")']"
40,System,hasDeployment,some,Deployment,"['(""encompasses Deployments, which define how the System is executed"")']"
41,System,hasSubSystem,some,System,"['(""may include SubSystems that work collaboratively to achieve overarching goals"")']"
42,System,implements,some,Procedure,"['(""every System implements specific Procedures that guide its operations and functionalities"")']"
