,subject,predicate,rtype,object,operations,support_sentence
0,American,hasBase,some,PizzaBase,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(“The base is typically a well-prepared pizza crust, providing the perfect foundation…”)']"
1,American,hasCountryOfOrigin,some,Country,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['(“Originating from the United States…”)']
2,American,hasTopping,some,MozzarellaTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['CheeseTopping'], 'specialize': []}",['(“…must always include mozzarella…”)']
3,American,hasTopping,some,PeperoniSausageTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['MeatTopping'], 'specialize': []}",['(“…must always include … pepperoni sausage…”)']
4,American,hasTopping,some,TomatoTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['VegetableTopping'], 'specialize': []}",['(“…must always include tomatoes…”)']
5,AmericanHot,hasBase,some,PizzaBase,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""this pizza stands out not just for its toppings but also for its classic pizza base"")']"
6,AmericanHot,hasCountryOfOrigin,some,Country,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Originating from the United States"")']"
7,AmericanHot,hasSpiciness,some,Hot,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""known for its bold and spicy flavors, each slice delivers a satisfying heat, creating a deliciously fiery experience"")']"
8,AmericanHot,hasTopping,some,HotGreenPepperTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['GreenPepperTopping'], 'specialize': []}","['(""toppings that include hot green peppers"")']"
9,AmericanHot,hasTopping,some,JalapenoPepperTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PepperTopping'], 'specialize': []}","['(""toppings that include ... jalapeños"")']"
10,AmericanHot,hasTopping,some,MozzarellaTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['CheeseTopping'], 'specialize': []}","['(""toppings that include mozzarella"")']"
11,AmericanHot,hasTopping,some,PeperoniSausageTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['MeatTopping'], 'specialize': []}","['(""toppings that include pepperoni sausage"")']"
12,AmericanHot,hasTopping,some,TomatoTopping,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['VegetableTopping'], 'specialize': []}","['(""toppings that include tomatoes"")']"
13,AnchoviesTopping,hasSpiciness,some,Mild,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['The description states that it is ""known for its mild spiciness,"" which justifies restricting its spiciness to Mild.']"
14,AnchoviesTopping,isToppingOf,some,Pizza,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Food'], 'specialize': []}","['The class description explains that this topping ""adds a distinctive flavor to pizzas"" and enhances the overall pizza experience, justifying that it is used exclusively on pizzas.']"
15,ArtichokeTopping,hasSpiciness,some,Mild,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description states it is ""known for its mild taste,"" which supports a spiciness restriction of Mild.)']"
16,ArtichokeTopping,isToppingOf,some,Pizza,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Food'], 'specialize': []}","['(The description mentions that this topping is ""often found on pizzas,"" indicating that an ArtichokeTopping must be a topping of a Pizza.)']"
17,AsparagusTopping,hasSpiciness,some,Mild,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Known for their mild taste, these vegetables complement a variety of other ingredients without overpowering them."")']"
