constraint_key,subject,predicate,rtype,object,operation,description,combined
"American,hasBase,some,PizzaBase",American,hasBase,some,PizzaBase,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“The base is typically a well-prepared pizza crust, providing the perfect foundation…”)']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“The base is typically a well-prepared pizza crust, providing the perfect foundation…”)']"
"American,hasBase,some,PizzaBase",American,hasBase,only,PizzaBase,variant_rtype,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation. If any base component exists, it must exclusively be a PizzaBase.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“The base is typically a well-prepared pizza crust, providing the perfect foundation…”)']"
"American,hasCountryOfOrigin,some,Country",American,hasCountryOfOrigin,some,Country,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“Originating from the United States…”)']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“Originating from the United States…”)']"
"American,hasCountryOfOrigin,some,Country",American,hasCountryOfOrigin,some,Country,remove,"This style of pizza is characterized by its hearty combination of flavorful toppings—including mozzarella, pepperoni sausage, and tomatoes—that create a delicious and satisfying experience without any reference to its country of origin.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“Originating from the United States…”)']"
"American,hasCountryOfOrigin,some,Country",American,hasCountryOfOrigin,only,Country,variant_rtype,"('Originating from the United States…') If any country of origin information is provided, then it must exclusively be associated with a valid Country.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“Originating from the United States…”)']"
"American,hasTopping,some,MozzarellaTopping",American,hasTopping,some,MozzarellaTopping,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“…must always include mozzarella…”)']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“…must always include mozzarella…”)']"
"American,hasTopping,some,MozzarellaTopping",American,hasTopping,some,MozzarellaTopping,remove,This style of pizza is characterized by its hearty combination of flavorful toppings that create a delicious and satisfying experience. The focus is on the overall blend of ingredients rather than mandating the inclusion of any one particular topping.,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“…must always include mozzarella…”)']"
"American,hasTopping,some,MozzarellaTopping",American,hasTopping,only,MozzarellaTopping,variant_rtype,"This style of pizza is characterized by its hearty combination of flavorful toppings, where if any toppings are present, they must all be mozzarella.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“…must always include mozzarella…”)']"
"American,hasTopping,some,MozzarellaTopping",American,hasTopping,some,CheeseTopping,generalize,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include a cheese topping – for example, mozzarella serves as a classic representative of this essential ingredient.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“…must always include mozzarella…”)']"
"American,hasTopping,some,PeperoniSausageTopping",American,hasTopping,some,PeperoniSausageTopping,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“…must always include … pepperoni sausage…”)']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['(“…must always include … pepperoni sausage…”)']"
