constraint_key,subject,predicate,rtype,object,operation,description,combined
"American,hasBase,some,PizzaBase",American,hasBase,some,PizzaBase,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.']"
"American,hasBase,some,PizzaBase",American,hasBase,some,PizzaBase,remove,"The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.']"
"American,hasBase,some,PizzaBase",American,hasBase,only,PizzaBase,variant_rtype,"The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. If any bases exist, they must all be pizza crust.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.']"
"American,hasIngredient,some,MozzarellaTopping",American,hasIngredient,some,MozzarellaTopping,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasIngredient,some,MozzarellaTopping",American,hasIngredient,some,MozzarellaTopping,remove,"This style of pizza is characterized by its hearty combination of flavorful toppings, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasIngredient,some,MozzarellaTopping",American,hasIngredient,only,MozzarellaTopping,variant_rtype,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes. If any toppings exist, they must all be mozzarella.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasIngredient,some,MozzarellaTopping",American,hasTopping,some,MozzarellaTopping,prop_variant,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients, and must have the topping mozzarella.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasTopping,some,PeperoniSausageTopping",American,hasTopping,some,PeperoniSausageTopping,original,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasTopping,some,PeperoniSausageTopping",American,hasTopping,some,PeperoniSausageTopping,remove,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
"American,hasTopping,some,PeperoniSausageTopping",American,hasTopping,only,PeperoniSausageTopping,variant_rtype,"This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes. If any toppings exist, they must all be mozzarella, pepperoni sausage, and tomatoes.","This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes, creating a delicious and satisfying experience. Originating from the United States, it embodies a rich culinary tradition that celebrates robust flavors and classic ingredients. The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings. ['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
