constraint_key,subject,predicate,rtype,object,operation,description,combined
"Animal,eaten-by,some,Carnivore",Animal,eaten-by,some,Carnivore,original,"The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']","The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
"Animal,eaten-by,some,Carnivore",Animal,eaten-by,some,Carnivore,remove,"(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)","The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
"Animal,eaten-by,some,Carnivore",Animal,eaten-by,only,Carnivore,variant_rtype,"(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. If any animals are present, they must exclusively be eaten by carnivores.)","The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
"Animal,eats,some,Carnivore",Animal,eats,some,Carnivore,original,"The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']","The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
"Animal,eats,some,Carnivore",Animal,eats,some,Carnivore,remove,"Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.","The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
"Animal,eats,some,Carnivore",Animal,eats,only,Carnivore,variant_rtype,"Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. If any animals exist, they must exclusively be carnivores.","The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
"Animal,eats,some,Carnivore",Animal,has-part,some,Carnivore,prop_variant,"Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. Animals have parts that include dietary classifications like carnivores.","The class ""Animal"" encompasses a diverse range of living organisms that are characterized by their ability to move and respond to their environment. Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem. This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom. Overall, animals play crucial roles in maintaining ecological balance and contribute significantly to the biodiversity of their habitats. ['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
"AnimalCollective,has-member,only,Animal",AnimalCollective,has-member,only,Animal,original,"An AnimalCollective refers to a group of animals that come together for specific purposes, such as foraging, protection, or social interaction. Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species. These gatherings can vary in size and structure, reflecting the unique characteristics and needs of the animals involved. Examples of such collectives include herds, flocks, and swarms, each exhibiting distinct social dynamics. ['(Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species.)']","An AnimalCollective refers to a group of animals that come together for specific purposes, such as foraging, protection, or social interaction. Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species. These gatherings can vary in size and structure, reflecting the unique characteristics and needs of the animals involved. Examples of such collectives include herds, flocks, and swarms, each exhibiting distinct social dynamics. ['(Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species.)']"
"AnimalCollective,has-member,only,Animal",AnimalCollective,has-member,only,Animal,remove,"An AnimalCollective refers to a group of animals that come together for specific purposes, such as foraging, protection, or social interaction. These gatherings can vary in size and structure, reflecting the unique characteristics and needs of the animals involved. Examples of such collectives include herds, flocks, and swarms, each exhibiting distinct social dynamics.","An AnimalCollective refers to a group of animals that come together for specific purposes, such as foraging, protection, or social interaction. Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species. These gatherings can vary in size and structure, reflecting the unique characteristics and needs of the animals involved. Examples of such collectives include herds, flocks, and swarms, each exhibiting distinct social dynamics. ['(Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species.)']"
"AnimalCollective,has-member,only,Animal",AnimalCollective,has-member,some,Animal,variant_rtype,"An AnimalCollective refers to a group of animals that come together for specific purposes, such as foraging, protection, or social interaction. Each collective is comprised of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species. These gatherings can vary in size and structure, reflecting the unique characteristics and needs of the animals involved. Examples of such collectives include herds, flocks, and swarms, each exhibiting distinct social dynamics. At least one member must be an animal.","An AnimalCollective refers to a group of animals that come together for specific purposes, such as foraging, protection, or social interaction. Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species. These gatherings can vary in size and structure, reflecting the unique characteristics and needs of the animals involved. Examples of such collectives include herds, flocks, and swarms, each exhibiting distinct social dynamics. ['(Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species.)']"
