,subject,predicate,rtype,object,operations,support_sentence
0,Animal,eaten-by,some,Carnivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['inheres-in'], 'generalize': ['Animal'], 'specialize': []}","['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
1,Animal,eats,some,Carnivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['has-part'], 'generalize': ['Animal'], 'specialize': []}","['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
2,AnimalCollective,has-member,only,Animal,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': ['is-part-of', 'inheres-in', 'has-part'], 'generalize': ['Thing'], 'specialize': []}","['(Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species.)']"
3,Apple,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Apples play a significant role in various ecosystems, serving as a food source for numerous animal species.)']"
4,Bask,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(The class ""Bask"" refers to a specific type of animal collective, which implies that it consists of members that are animals.)']"
5,Berry,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(Berries are an important food source for many animals and can play a significant role in the ecosystem by facilitating seed dispersal.)']
6,Branch,has-part,some,FruitingBody,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(A Branch is a structural component of a Tree that supports leaves and fruits, playing a vital role in the overall growth and health of the plant.)']"
7,Branch,has-part,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(A Branch is a structural component of a Tree that supports leaves and fruits, playing a vital role in the overall growth and health of the plant.)']"
8,Carnivore,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}",['(Carnivores are a group of animals that just consume other animals as their all source of nutrition.)']
9,CarnivorousPlant,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Carnivorous plants capture and digest animals, primarily insects, to supplement their nutritional intake.)']"
10,Carrot,eaten-by,some,Herbivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}","['(Carrots are commonly consumed by various animals, indicating that they can be eaten by herbivores.)']"
11,Cloud,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(Members of a cloud typically share a common environment and interact closely with one another, indicating that a cloud consists of various animals.)']"
12,Colony,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Thing'], 'specialize': []}","['(A Colony is a collective of animals that live together in a social structure, often cooperating for mutual benefit.)']"
