,subject,predicate,rtype,object,operations,support_sentence
0,Animal,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""This class includes both terrestrial and aquatic species, highlighting the vast array of forms and behaviors found within the animal kingdom."")']"
1,AnimalCollective,has-member,only,Animal,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors among various species."")']"
2,Apple,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['Apples play a significant role in various ecosystems, serving as a food source for numerous animal species.']"
3,Bask,has-member,only,Animal,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Bask refers to a specific type of animal collective, characterized by the behavior of animals gathering together in a sunlit area"" and ""observed in certain reptiles and mammals"")']"
4,Berry,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Berries are an important food source for many animals."")']"
5,Branch,is-proper-part-of,some,Tree,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': ['is-part-of'], 'generalize': ['Plant'], 'specialize': []}","['(""A Branch is a structural component of a Tree…"")']"
6,Carnivore,eats,only,Animal,"{'remove': True, 'variant_rtype': ['some'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['Carnivores are a group of animals that just consume other animals as their all source of nutrition.']
7,CarnivorousPlant,eats,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Carnivorous plants are unique botanical species that have evolved specialized mechanisms to capture and digest animals, primarily insects"" and ""by attracting, trapping, and digesting their prey, they supplement their nutritional intake"")']"
8,Carrot,eaten-by,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['commonly consumed by both humans and various animals"" (the description explicitly mentions that Carrots are eaten, and Animal is available in the class_hierarchy).']"
9,Carrot,has-part,some,Root,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['It is cultivated primarily for its edible taproot"" (the taproot is a kind of Root as shown in the class_hierarchy, where Root includes Carrot and Parsnip).']"
10,Cloud,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Members of a cloud typically share a common environment and interact closely with one another,"" which implies that a Cloud is defined by having animals as members.)']"
11,Colony,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""A Colony is a collective of animals that live together…"" and ""can consist of various species or members of the same species"", indicating that its members are animals.)']"
12,Colony,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""These social arrangements can be observed in various habitats,"" implying that colonies inhabit habitats.)']"
13,Den,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description states that dens are “used by various animals for protection and raising their young,” which implies that at least one Animal is a member of the Den.)']"
14,Distribution,has-part,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""This includes the specific regions, habitats, and ecological zones that support diverse life forms."")']"
15,Elephant,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description states “They inhabit various environments, including savannas, forests, and grasslands,” which supports that Elephants have an ‘inhabits’ relation to Habitat.)']"
16,Flight,has-member,some,Animal,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The class description states that Flight “refers to a collective behavior exhibited by certain animals, particularly birds,” and highlights “the coordinated movement of multiple individuals,” implying that Flight is constituted by members that are Animals.)']"
17,FruitingBody,is-part-of,some,Plant,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['The description states that FruitingBody “represents the reproductive structures of certain plants,” which implies that each FruitingBody is a part of (i.e. is-part-of) a Plant.']"
18,Giraffe,eats,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(The description states “feeds on leaves …”, indicating that giraffes eat leaves.)']"
19,Giraffe,eats,some,Twig,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description mentions “feeds on … twig”, showing that giraffes also consume twigs.)']"
20,Giraffe,inhabits,some,Habitat,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(The description notes that “Giraffes are often found in savannas and open woodlands”, implying they inhabit such habitats.)']"
21,Grass,eaten-by,some,Herbivore,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Animal'], 'specialize': []}","['(""serving as a primary food source for many herbivorous animals"")']"
22,Grass,has-part,some,Leaf,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""characterized by its long, narrow leaves"")']"
23,Grass,has-part,some,Stem,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['PlantParts'], 'specialize': []}","['(""characterized by its ... hollow stems"")']"
