,subject,predicate,rtype,object,operations,support_sentence
0,ActuatableProperty,madeActuation,some,Actuation,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['This property is designed to be directly affected by an actuation process, indicating a clear relationship between the property and the action taken.']"
1,Actuation,actsOnProperty,some,ActuatableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Property'], 'specialize': []}","['an actuator exerts influence on a specific property, typically an actuatable property.']"
2,Actuation,hasFeatureOfInterest,some,FeatureOfInterest,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['closely tied to a particular feature of interest, which is the focus of the actuation.']"
3,Actuation,hasResult,some,Result,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['each actuation yields a specific result, reflecting the outcome of the interaction.']"
4,Actuation,usedProcedure,some,Procedure,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}",['the actuation is guided by a defined procedure that outlines the steps necessary to achieve the intended outcome.']
5,Actuator,actsOnProperty,some,ActuatableProperty,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': ['Property'], 'specialize': []}","['Each Actuator is associated with a specific type of property that it can influence, ensuring that its functionality is aligned with the properties it is intended to actuate.']"
6,Deployment,deployedOnPlatform,some,Platform,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""...where a system is installed or utilized on a designated platform."")']"
7,Deployment,deployedSystem,some,System,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""The Deployment class encapsulates the relationship between the system, the platform it operates on, and the property it addresses, emphasizing the structured nature of sensor network configurations."")']"
8,Deployment,forProperty,some,Property,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""Each deployment is tailored to a particular property, ensuring that the system operates within defined parameters."")']"
9,FeatureOfInterest,hasProperty,some,Property,"{'remove': True, 'variant_rtype': ['only'], 'prop_variant': [], 'generalize': [], 'specialize': []}","['(""every Feature of Interest is defined by its properties, which describe its characteristics and behaviors in the context of observation or measurement."")']"
