,subject,predicate,rtype,object,support_sentence
0,Animal,eaten-by,some,Carnivore,"['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
1,Animal,eats,some,Carnivore,"['(Animals can be classified into various groups based on their dietary habits, such as carnivores, herbivores, and omnivores, reflecting their roles in the ecosystem.)']"
2,AnimalCollective,has-member,only,Animal,"['(Each collective is comprised exclusively of members from the animal kingdom, showcasing the diverse behaviors and interactions among various species.)']"
3,Apple,eaten-by,some,Animal,"['(Apples play a significant role in various ecosystems, serving as a food source for numerous animal species.)']"
4,Bask,has-member,some,Animal,"['(The class ""Bask"" refers to a specific type of animal collective, which implies that it consists of members that are animals.)']"
5,Berry,eaten-by,some,Animal,['(Berries are an important food source for many animals and can play a significant role in the ecosystem by facilitating seed dispersal.)']
6,Branch,has-part,some,FruitingBody,"['(A Branch is a structural component of a Tree that supports leaves and fruits, playing a vital role in the overall growth and health of the plant.)']"
7,Branch,has-part,some,Leaf,"['(A Branch is a structural component of a Tree that supports leaves and fruits, playing a vital role in the overall growth and health of the plant.)']"
8,Carnivore,eats,some,Animal,['(Carnivores are a group of animals that just consume other animals as their all source of nutrition.)']
9,CarnivorousPlant,eats,some,Animal,"['(Carnivorous plants capture and digest animals, primarily insects, to supplement their nutritional intake.)']"
10,Carrot,eaten-by,some,Herbivore,"['(Carrots are commonly consumed by various animals, indicating that they can be eaten by herbivores.)']"
11,Cloud,has-member,some,Animal,"['(Members of a cloud typically share a common environment and interact closely with one another, indicating that a cloud consists of various animals.)']"
12,Colony,has-member,some,Animal,"['(A Colony is a collective of animals that live together in a social structure, often cooperating for mutual benefit.)']"
13,Den,inhabits,some,Animal,['(A Den is a specific type of shelter or resting place used by various animals for protection and raising their young.)']
14,Distribution,inhabits,some,Habitat,"['(The Distribution class encompasses the various geographical areas where different species of animals and plants are found across Africa, which implies that these distributions are associated with specific habitats.)']"
15,Elephant,eats,some,Herbivore,"['(The Elephant is a large, herbivorous mammal known for its distinctive trunk, tusks, and large ears.)']"
16,Flight,has-member,some,Animal,"['(The class ""Flight"" refers to a collective behavior exhibited by certain animals, particularly birds, during which they move through the air using their wings.)']"
17,FruitingBody,has-part,some,PlantParts,"['(The FruitingBody class represents the reproductive structures of certain plants that develop from flowers and contain seeds, indicating that they are composed of various parts, which are classified under PlantParts.)']"
18,Giraffe,eats,some,Leaf,"['(Giraffes are herbivorous mammals that feed on leaves or twigs, particularly from trees, allowing them to reach foliage that many other herbivores cannot access.)  \nGiraffe, eats, some, Twig / support sentence: (Giraffes are herbivorous mammals that feed on leaves or twigs, particularly from trees, allowing them to reach foliage that many other herbivores cannot access.)  \nGiraffe, inhabits, some, Habitat / support sentence: (Giraffes are often found in savannas and open woodlands where their preferred food sources are abundant.)  \nGiraffe, is-proper-part-of, some, Animal / support sentence: (The Giraffe is a tall, herbivorous mammal known for its long neck and distinctive spotted coat.)']"
19,Grass,eaten-by,some,Herbivore,['(Grass serves as a primary food source for many herbivorous animals.)']
20,Habitat,has-member,some,Animal,"['(A habitat is a natural environment where various organisms live and interact with one another, which implies that it can have members that are animals.)']"
21,Habitat,has-member,some,Plant,"['(A habitat is a natural environment where various organisms live and interact with one another, which implies that it can have members that are plants.)']"
22,Habitat,has-part,some,PlantParts,"['(It encompasses the physical characteristics, climate, and resources available in a specific area, which can support different forms of life, indicating that habitats can have parts that are plant parts.)']"
23,Habitat,inhabits,some,Animal,"['(Each habitat plays a crucial role in the ecosystem, providing food, shelter, and breeding grounds for the species that inhabit it, indicating that habitats can be inhabited by animals.)']"
24,Habitat,inhabits,some,Plant,"['(Each habitat plays a crucial role in the ecosystem, providing food, shelter, and breeding grounds for the species that inhabit it, indicating that habitats can be inhabited by plants.)']"
25,Herbivore,eats,some,Plant,['(Herbivores are animals that just consume plant material as their all source of nutrition.)']
26,Herd,has-member,some,Elephant,"['(A herd is a social group of animals that typically consists of individuals living and moving together... In the context of African wildlife, a herd is often characterized by its members being predominantly elephants...)']"
27,HypoCarnivores,eats,some,Carnivore,['(HypoCarnivores are a specialized group of carnivorous animals that primarily consume meat but can also incorporate some plant matter into their diets.)']
28,HypoCarnivores,eats,some,Plant,['(This dietary flexibility allows them to thrive in various environments where food availability may fluctuate.)']
29,HypoCarnivores,is-part-of,only,Animal,['(HypoCarnivores are classified under the broader category of carnivorous animals.)']
30,Impala,eats,only,Grass,"['(Impalas are herbivores, primarily feeding on grasses and leaves.)']"
31,Impala,is-part-of,some,Herd,['(Impalas are social animals that often form large herds.)']
32,Kettle,has-member,some,Animal,"['(Members of a Kettle often engage in coordinated movements, particularly during flight, showcasing their ability to work together in the wild.)']"
33,Leaf,has-part,some,PlantParts,"[""(Leaves are typically green and are attached to branches, where they can efficiently capture light. As part of the plant's structure, leaves contribute to overall growth and health.)""]"
34,Lion,eats,some,Herbivore,"['(Lions primarily hunt and feed on herbivorous animals, showcasing its role as a top predator in its ecosystem.)']"
35,MesoCarnivore,eaten-by,some,Predator,"['(As MesoCarnivores are part of the food chain, they can be preyed upon by other animals classified as Predators.)']"
36,MesoCarnivore,eats,some,Animal,"['(MesoCarnivores primarily consume other animals, indicating that they eat members of the class Animal.)']"
37,Nest,has-part,some,PlantParts,"['(Nests can be constructed using materials such as twigs, leaves, and mud, depending on the species.)']"
38,ObligateCarnivore,eats,some,Animal,"['(Obligate carnivores primarily rely on a diet consisting exclusively of meat to meet their nutritional needs, which indicates they eat other animals.)']"
39,Omnivore,eats,some,Animal,"['(Omnivores consume a varied diet, incorporating both animal and plant matter, which indicates that they eat animals.)']"
40,Omnivore,eats,some,Plant,"['(Omnivores consume a varied diet, incorporating both animal and plant matter, which indicates that they eat plants.)']"
41,Palm,has-part,some,PlantParts,"['(The Palm class encompasses a diverse group of flowering plants characterized by their tall, slender trunks and large, fan-like or feather-like leaves, indicating that palms have parts that belong to the PlantParts class.)']"
42,Palmtree,has-part,some,PlantParts,"['(The Palmtree is a type of plant characterized by its tall, unbranched trunk and a crown of large, fan-shaped or feather-like leaves at the top, indicating that it has parts that belong to the PlantParts class.)']"
43,Parsnip,has-part,some,Root,"['(The parsnip is a root vegetable known for its sweet, nutty flavor and creamy texture when cooked.)']"
44,Phloem,has-part,some,PlantParts,"[""(Phloem is a component of the plant's vascular system and is specifically associated with the stem, indicating that it has parts that belong to the broader category of PlantParts.)""]"
45,Plant,has-part,some,PlantParts,"['(Plants are characterized by their structures, such as roots, stems, and leaves, which are essential for their survival and reproduction.)']"
46,PlantParts,is-part-of,some,Plant,"['(Every plant part is inherently linked to a specific plant, emphasizing the interdependence between the components and the whole organism.)']"
47,Predator,eaten-by,some,Animal,"['(Predators can vary widely in size, behavior, and hunting strategies, ranging from solitary hunters to those that operate in packs.)']"
48,Predator,eats,some,Animal,"['(The class ""Predator"" encompasses organisms that actively hunt and consume other animals for sustenance.)']"
49,Prey,eaten-by,some,Predator,['(The Prey class encompasses various animals that are primarily hunted by predators for food.)']
50,Rhumba,has-member,some,Animal,"['(The Rhumba is characterized by a group of individuals that come together for social interactions or cooperative behaviors, indicating that it must have members that are animals.)']"
51,RockDassie,eats,some,Tasty-plant,"['(The Rock Dassie is a small herbivorous mammal that primarily feeds on a variety of vegetation, including grasses and leaves, making it an important part of its ecosystem.)']"
52,Role,eaten-by,some,Animal,"['(Similarly, the roles of Predator and Prey also imply that a Prey role is defined by being eaten by another animal, reinforcing the dynamic relationships in natural ecosystems.)']"
53,Role,eats,some,Animal,"['(The Role class encompasses the various positions that animals can hold within ecological interactions, including classifications such as predator and prey, which implies that roles like Predator and Prey are defined by their interactions with other animals, specifically through the act of eating.)']"
