,subject,predicate,object,rtype,operations,support_sentence
0,American,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base is typically a well-prepared pizza crust, providing the perfect foundation for the generous layering of these essential toppings.']"
1,American,hasIngredient,MozzarellaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
2,American,hasTopping,PeperoniSausageTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
3,American,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['This style of pizza is characterized by its hearty combination of flavorful toppings, which must always include mozzarella, pepperoni sausage, and tomatoes...']"
4,AmericanHot,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['(AmericanHot is a type of pizza, which typically features a classic pizza base.)']"
5,AmericanHot,hasCountryOfOrigin,American,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(AmericanHot originates from the United States, indicating its country of origin is American.)']"
6,AmericanHot,hasSpiciness,Hot,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This type of pizza is known for its bold and spicy flavors, delivering a satisfying heat, which classifies its spiciness as Hot.)']"
7,AmericanHot,hasTopping,MeatTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(AmericanHot typically features toppings that include pepperoni sausage, which falls under the category of MeatTopping.)']"
8,AmericanHot,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['(AmericanHot is known for its toppings that include hot green peppers and tomatoes, which are classified as VegetableToppings.)']"
9,AnchoviesTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Typically, it is classified as a fish topping and is known for its mild spiciness, making it a unique choice for those looking to enhance their pizza experience with something a bit different.']"
10,ArtichokeTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for its mild taste, it complements a variety of other ingredients without overwhelming them.']"
11,ArtichokeTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['This topping, often found on pizzas, consists of tender artichoke hearts that add a unique, earthy flavor.']"
12,AsparagusTopping,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}",['They provide a nutritious and visually appealing addition that can elevate any pizza experience.']
13,AsparagusTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for their mild taste, these vegetables complement a variety of other ingredients without overpowering them.']"
14,AsparagusTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['This delightful topping adds a unique flavor to pizzas, featuring tender, green stalks that bring a touch of earthiness.']"
15,Cajun,hasBase,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['Each slice is generously adorned with creamy mozzarella, sweet onions, vibrant peperonata, succulent prawns, and a zesty kick from Tobasco pepper sauce, all layered atop a classic tomato base.']"
16,Cajun,hasSpiciness,Hot,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['...creates a unique and flavorful experience, perfect for those who enjoy a little spice in their meal.']"
17,Cajun,hasTopping,OnionTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['...sweet onions, vibrant peperonata, succulent prawns, and a zesty kick from Tobasco pepper sauce...']"
18,Cajun,hasTopping,PeperonataTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['...sweet onions, vibrant peperonata, succulent prawns, and a zesty kick from Tobasco pepper sauce...']"
19,Cajun,hasTopping,PrawnsTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Each slice is generously adorned with creamy mozzarella, sweet onions, vibrant peperonata, succulent prawns, and a zesty kick from Tobasco pepper sauce...']"
20,Cajun,hasTopping,SauceTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['...and a zesty kick from Tobasco pepper sauce...']
21,CajunSpiceTopping,hasSpiciness,Hot,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['CajunSpiceTopping is characterized by its hot spiciness that tantalizes the taste buds, indicating that it must have a spiciness level of at least ""Hot"".']"
22,CajunSpiceTopping,isToppingOf,Cajun,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['This flavorful addition to your pizza is often used to enhance the overall flavor profile, suggesting that it is a topping specifically associated with the Cajun pizza.']"
